ACCOUNT_NR;ACCOUNT_NAME;ACCOUNT_TYPE;VAT_NR;STREET;STREET_CD;HOUSE_NUM1;HOUSE_NUM2;POSTAL_CD;CITY;COUNTRY_CD;PHONE_NR;FAX_NR;Full Address
1000215;Hubo Belgie;2;BE0411982457;Koralenhoeve;157511;35;;2160;Wommelgem;BE;03 350 37 37;3233503547;Koralenhoeve 35  2160 Wommelgem
1000217;Alfons Peeters;2;BE0629166249;Wilders;14215;47;;2440;Geel;BE;014 58 45 11;3214586413;Wilders 47  2440 Geel
1000218;Sumitomo BENELUX;2;BE0401850610;Avenue Arnaud Fraiteur;21073;15;23;1050;Ixelles ( Bruxelles );BE;02 509 78 12;3225133105;Avenue Arnaud Fraiteur 15 23 1050 Ixelles ( Bruxelles )
1000221;Massepain Sleeubus;2;BE0404852363;Isabellalei;1285;92;;2018;Antwerpen;BE;03 239 21 73;3232309832;Isabellalei 92  2018 Antwerpen
1000222;FV BNVTT Dienstencentrum;2;409003369;Alfred Solvaylaan;25018;5;;1170;Watermaal-Bosvoorde ( Brussel );BE;02 672 76 76;3223727614;Alfred Solvaylaan 5  1170 Watermaal-Bosvoorde ( Brussel )
1000223;CARP;2;BE0407844715;Rue de la Gendarmerie;151165;38;;5600;Philippeville;BE;071 66 68 21;3271668336;Rue de la Gendarmerie 38  5600 Philippeville
1000224;MTS Benelux;2;BE0416187804;Rue Gabriel de MoriamÈ;149041;11;;5020;Malonne ( Namur );BE;081 44 83 76;3281448400;Rue Gabriel de MoriamÈ 11  5020 Malonne ( Namur )
1000226;Engels Factory;2;BE0417433857;Gentse Steenweg;82134;136;;9160;Lokeren;BE;09 348 49 51;3293480879;Gentse Steenweg 136  9160 Lokeren
1000227;Verstraete-Hahn;2;BE0442283277;Sprietestraat;56911;280;;8792;Desselgem;BE;056 73 57 80;3256719640;Sprietestraat 280  8792 Desselgem
1000229;Assa Abloy;2;BE0405269760;Canadalaan;64474;73;;8620;Nieuwpoort;BE;058 23 41 01;3258238964;Canadalaan 73  8620 Nieuwpoort
1000230;Legia;2;BE0405530670;Ieperstraat;56639;432;101;8930;Menen;BE;056 51 13 98;3256519360;Ieperstraat 432 101 8930 Menen
1000231;Dienstencentrum Sint-Gerardus Stijn;2;BE0439452461;Sint-Gerardusdreef;174195;1;;3590;Diepenbeek;BE;011 35 01 00;3211350101;Sint-Gerardusdreef 1  3590 Diepenbeek
1000232;Foederer Groep BelgiÎ;2;BE0444493986;Singelbeekstraat;125428;12;;3500;Hasselt;BE;011 56 03 00;3211560310;Singelbeekstraat 12  3500 Hasselt
1000233;Carpenter Belgium;2;BE0417651415;Wijnendalestraat;61483;171;;8800;Beveren-Roeselare;BE;051 23 02 11;3251230238;Wijnendalestraat 171  8800 Beveren-Roeselare
1000234;Michel Van de Wiele;2;BE0405450595;Michel Vandewielestraat;55750;7;;8510;Marke;BE;056 24 32 11;3256243540;Michel Vandewielestraat 7  8510 Marke
1000236;Abbaye de Scourmont;2;401695410;Rue du Rond-Point;100010;294;;6464;Forges;BE;060 21 05 11;3260213049;Rue du Rond-Point 294  6464 Forges
1000237;Demeyere;2;BE0400853884;Atealaan;14794;63;;2200;Herentals;BE;014 28 52 10;3214285222;Atealaan 63  2200 Herentals
1000239;Firma Lapauw;2;BE0405349340;Oude Ieperseweg;56166;139;;8501;Heule;BE;056 35 42 95;3256354559;Oude Ieperseweg 139  8501 Heule
1000240;Entreprises Dherte;2;BE0401818144;Rue Lieutenant Cotton;85239;15;;7880;Flobecq;BE;068 44 67 67;3268448727;Rue Lieutenant Cotton 15  7880 Flobecq
1000243;Bert Mergits;2;BE0850571026;Mechelsesteenweg;1321;247;14;2018;Antwerpen;BE;03 286 71 20;3232867127;Mechelsesteenweg 247 14 2018 Antwerpen
1000245;Belisia;2;BE0400930395;Eikenlaan;131872;11;;3740;Bilzen;BE;089 41 11 15;3289492422;Eikenlaan 11  3740 Bilzen
1000246;Balta Oudenaarde;2;BE0417173937;Industriepark de Bruwaan;79782;4;;9700;Oudenaarde;BE;055 33 52 11;3255335252;Industriepark de Bruwaan 4  9700 Oudenaarde
1000247;Rendac;2;BE0400272181;Fabriekstraat;65822;2;;9470;Denderleeuw;BE;053 64 02 11;3253640360;Fabriekstraat 2  9470 Denderleeuw
1000248;AXI;2;BE0407653980;Molenweg;12676;107;;2830;Willebroek;BE;03 860 40 00;3238604001;Molenweg 107  2830 Willebroek
1000249;Algemeen Ziekenhuis Sint-Maria;2;BE0467967491;Ziekenhuislaan;160199;100;;1500;Halle;BE;02 363 12 11;3223631210;Ziekenhuislaan 100  1500 Halle
1000250;Kliniek St.-Jozef;2;409956147;Boterstraat;62555;6;;8740;Pittem;BE;051 46 70 41;3251467046;Boterstraat 6  8740 Pittem
1000251;Bofin Biscuits;2;BE0400826764;Mechelbaan;12013;690;;2580;Putte;BE;015 76 77 78;3215744494;Mechelbaan 690  2580 Putte
1000252;Ter Beke;2;BE0421364139;Beke;78009;1;;9950;Waarschoot;BE;03 350 06 06;3293701501;Beke 1  9950 Waarschoot
1000253;Dirk Van Huffel;2;BE0712241207;Boelarestraat;66315;11;;9500;Geraardsbergen;BE;054 43 34 00;3254413181;Boelarestraat 11  9500 Geraardsbergen
1000254;ABVV De Centrale van de Voeding - Horeca - Diensten;2;435181095;Zakstraat;11277;16;;2800;Mechelen;BE;015 29 90 50;3215216395;Zakstraat 16  2800 Mechelen
1000255;Abdij Sint-Sixtus;2;BE0405530472;Donkerstraat;53541;12;;8640;Westvleteren ( Vleteren );BE;057 40 03 76;3257401420;Donkerstraat 12  8640 Westvleteren ( Vleteren )
1000258;De Westvlaamse Apothekersvereniging;2;BE0405383388;Kwadestraat;61779;153;1;8800;Rumbeke;BE;051 69 11 20;3251253551;Kwadestraat 153 1 8800 Rumbeke
1000261;Liantis Sociaal Secretariaat;2;BE0406558771;Duinkerkestraat;64707;17;;8630;Veurne;BE;050 44 06 11;3250339969;Duinkerkestraat 17  8630 Veurne
1000262;Quinn Group Belgium;2;BE0404063101;Van Doornelaan;13921;2A;;2440;Geel;BE;014 50 00 11;3214514740;Van Doornelaan 2A  2440 Geel
1000263;Les Entreprises Gilles Moury;2;BE0403907307;Rue du Moulin;112516;320;1;4020;Bressoux ( LiËge );BE;04 344 72 11;3243433986;Rue du Moulin 320 1 4020 Bressoux ( LiËge )
1000264;Fiduciaire 2000;2;BE0421552991;Rue de Huy;122711;273;;4300;Waremme;BE;019 32 33 03;3219328203;Rue de Huy 273  4300 Waremme
1000265;Gestacom;2;BE0425050436;Avenue van Engeland;21847;7;;1090;Jette ( Bruxelles );BE;02 425 20 29;3224252029;Avenue van Engeland 7  1090 Jette ( Bruxelles )
1000266;Caisse Auxiliaire Assurance Maladie-InvaliditÈ;2;;Rue du TrÙne;20724;30A;;1000;Bruxelles;BE;02 229 35 00;3222293558;Rue du TrÙne 30A  1000 Bruxelles
1000267;Patrick Fichefet;2;BE0619887705;Impasse de La Cense Gain;92763;31;;7000;Mons;BE;065 34 64 10;;Impasse de La Cense Gain 31  7000 Mons
1000268;Sydac Boekhoudkantoor;2;BE0416716849;Hoevensebaan;5701;214;;2950;Kapellen;BE;03 660 17 17;3236601718;Hoevensebaan 214  2950 Kapellen
1000271;De Gelukkige Haard;2;BE0405260456;Seringenstraat;59740;21A;;8400;Oostende;BE;059 70 53 26;3259806350;Seringenstraat 21A  8400 Oostende
1000272;ABVV West-Vlaanderen;2;923020524;Jules Peurquaetstraat;59682;27;;8400;Oostende;BE;059 70 36 27;3259514459;Jules Peurquaetstraat 27  8400 Oostende
1000273;Fiscabel;2;BE0405738429;Hendrik I-lei;32198;15;;1800;Vilvoorde;BE;02 251 12 97;3222524953;Hendrik I-lei 15  1800 Vilvoorde
1000275;Jean Crab & Fils;2;419654662;ChaussÈe de Charleroi;22872;214;216;1060;Saint-Gilles ( Bruxelles );BE;02 535 94 00;3225385168;ChaussÈe de Charleroi 214 216 1060 Saint-Gilles ( Bruxelles )
1000277;Investsud;2;BE0424971945;Rue de La Plaine;162769;11;;6900;Marche-En-Famenne;BE;084 31 57 32;3284315723;Rue de La Plaine 11  6900 Marche-En-Famenne
1000278;CM Antwerpen;2;BE0411696407;Molenbergstraat;781;2;;2000;Antwerpen;BE;03 221 92 00;3232219699;Molenbergstraat 2  2000 Antwerpen
1000279;Orde van Architecten;2;BE0413518522;Havenlaan;20540;86C;101;1000;Brussel;BE;02 643 62 00;3226436219;Havenlaan 86C 101 1000 Brussel
1000280;SN Brussels Airlines;2;BE0400853488;Luchthaven Brussel Nationaal;33068;117;;1930;Zaventem;BE;02 754 19 00;3227541999;Luchthaven Brussel Nationaal 117  1930 Zaventem
1000284;Nationale Patroonsdienst;2;BE0406603214;Merksemheidelaan;2150;72;;2170;Merksem ( Antwerpen );BE;03 640 30 10;3236403015;Merksemheidelaan 72  2170 Merksem ( Antwerpen )
1000286;AZ Sint-Lucas;2;BE0408116216;Sint-Lucaslaan;48592;29;;8310;Assebroek ( Brugge );BE;050 36 91 11;3250370127;Sint-Lucaslaan 29  8310 Assebroek ( Brugge )
1000288;FAMIFED;2;206737385;Rue de TrËves;20721;70;;1000;Bruxelles;BE;DO NOT USE PHONE;;Rue de TrËves 70  1000 Bruxelles
1000289;Minit Benelux;2;BE0414907404;Industrielaan;163160;25;;9320;Erembodegem;BE;053 85 15 15;3253851588;Industrielaan 25  9320 Erembodegem
1000293;Babyliss Faco;2;BE0412537139;Avenue de l'IndÈpendance;113211;25;;4020;Wandre ( LiËge );BE;04 345 60 60;3243625921;Avenue de l'IndÈpendance 25  4020 Wandre ( LiËge )
1000296;Les AssurÈs RÈunis;2;BE0403250774;Rue du TrÙne;20724;1;;1000;Bruxelles;BE;02 519 65 11;3226470703;Rue du TrÙne 1  1000 Bruxelles
1000297;Blancas;2;BE0427451878;Zeedijk;47414;150;;8370;Blankenberge;BE;050 43 20 20;3250419840;Zeedijk 150  8370 Blankenberge
1000298;RPM/Belgium;2;BE0403131703;Henri Dunantstraat;62804;11B;;8700;Tielt;BE;051 40 38 01;3251405590;Henri Dunantstraat 11B  8700 Tielt
1000299;CentragËs;2;BE0403221674;Place du Champ de Mars;21142;2;1;1050;Ixelles ( Bruxelles );BE;02 511 65 70;3225135032;Place du Champ de Mars 2 1 1050 Ixelles ( Bruxelles )
1000300;ETA Metalgroup;2;BE0407623001;Rue du DÈbarcadËre;86049;61;;6001;Marcinelle;BE;071 36 00 15;3271369944;Rue du DÈbarcadËre 61  6001 Marcinelle
1000302;Total Raffinaderij Antwerpen;2;BE0404586901;Scheldelaan;156794;16;;2030;Antwerpen;BE;03 545 50 11;3235455000;Scheldelaan 16  2030 Antwerpen
1000303;Christelijk Onderwijzers Verbond;2;409561318;Britsierslaan;22420;5;;1030;Schaarbeek ( Brussel );BE;02 227 41 11;3222274140;Britsierslaan 5  1030 Schaarbeek ( Brussel )
1000304;Fonderies J.Marichal Ketin et Cie;2;BE0403965705;Rue Ernest Solvay;112904;372;;4000;LiËge;BE;04 234 72 44;3222347265;Rue Ernest Solvay 372  4000 LiËge
1000305;Genencor International;2;BE0421466186;Komvest;47761;43;;8000;Brugge;BE;050 44 91 11;3250336849;Komvest 43  8000 Brugge
1000306;Tereos Starch & Sweeteners Belgium;2;BE0405716158;Burchtstraat;65007;10;;9300;Aalst;BE;053 73 33 33;3253733033;Burchtstraat 10  9300 Aalst
1000307;Provincialaat der Broeders van Liefde UPC Sint-Kamillus;2;BE0406633304;Krijkelberg;34566;1;;3360;Bierbeek;BE;016 45 26 11;3216463079;Krijkelberg 1  3360 Bierbeek
1000308;Stora Enso Langerbrugge;2;BE0417331909;Wondelgemkaai;75038;200;;9000;Gent;BE;09 257 72 11;3292577494;Wondelgemkaai 200  9000 Gent
1000309;De Baets Dienstverlening;2;BE0406369127;Kasteellaan;74312;48;;9000;Gent;BE;09 223 08 98;3292234157;Kasteellaan 48  9000 Gent
1000310;CM Meetjesland;2;;Garenstraat;70577;46;;9900;Eeklo;BE;09 376 12 11;3293761299;Garenstraat 46  9900 Eeklo
1000312;Campus Maria's Voorzienigheid;2;413207231;Loofstraat;55356;43;;8500;Kortrijk;BE;056 24 21 11;3256242110;Loofstraat 43  8500 Kortrijk
1000313;Inductotherm Coating Equipment;2;BE0404411509;Rue de HermÈe;111084;197;;4040;Herstal;BE;04 248 94 11;3242643549;Rue de HermÈe 197  4040 Herstal
1000314;VPK Packaging Group;2;BE0400313852;Kareelstraat;65099;108;;9300;Aalst;BE;052 26 12 08;3252632834;Kareelstraat 108  9300 Aalst
1000315;Seyntex;2;BE0423039962;Seyntexlaan;62927;1;;8700;Tielt;BE;051 42 37 37;3251423798;Seyntexlaan 1  8700 Tielt
1000319;Verstraete & Vanhecke;2;BE0404280459;Fotografielaan;3426;24;;2610;Wilrijk;BE;03 829 04 00;3238290806;Fotografielaan 24  2610 Wilrijk
1000320;Panasonic Energy Belgium;2;BE0407256676;Havenlaan;153299;6;;3980;Tessenderlo;BE;013 61 05 11;3213610599;Havenlaan 6  3980 Tessenderlo
1000321;STG - Wuustwezel;2;BE0419659612;Bredabaan;8182;853;;2990;Wuustwezel;BE;03 633 96 30;3236630622;Bredabaan 853  2990 Wuustwezel
1000325;Piet Vermeeren;2;BE0701095709;Zagerijstraat;16023;42;;2275;Lille;BE;014 88 03 31;3214880361;Zagerijstraat 42  2275 Lille
1000326;Hotel MÈtropole;2;BE0402873860;Place de BrouckËre;19879;31;;1000;Bruxelles;BE;02 214 23 00;3222142303;Place de BrouckËre 31  1000 Bruxelles
1000327;Fiduciaire Xavier Dubuc;2;BE0429992882;Rue de l'Eglise;87392;59;;6032;Mont-Sur-Marchienne ( Charleroi );BE;071 36 59 02;3271366943;Rue de l'Eglise 59  6032 Mont-Sur-Marchienne ( Charleroi )
1000328;Imperial Tobacco Belgium;2;BE0404266702;Sint-Bavostraat;3172;66;;2610;Wilrijk ( Antwerpen );BE;03 821 09 00;3238210901;Sint-Bavostraat 66  2610 Wilrijk ( Antwerpen )
1000329;Les Chemins d'Ariane;2;412435684;Rue du Tienne ‡ la Justice;141815;24;;5590;Ciney;BE;083 23 22 11;3232323232;Rue du Tienne ‡ la Justice 24  5590 Ciney
1000330;Buhlmann;2;BE0401871493;Hermesstraat;33172;2C;;1930;Nossegem;BE;02 711 20 46;3227112041;Hermesstraat 2C  1930 Nossegem
1000333;Begeleidingscentrum Sint-Elisabeth;2;418714851;Sint-Elisabethlaan;131556;20;;3990;Wijchmaal ( Peer );BE;011 39 95 00;3211632255;Sint-Elisabethlaan 20  3990 Wijchmaal ( Peer )
1000335;Glacio;2;BE0424000856;Lilsedijk;13547;22;;2340;Beerse;BE;014 60 17 11;3214601961;Lilsedijk 22  2340 Beerse
1000336;MPI De Kindervriend;2;409988514;Rollegemkerkstraat;55964;51;;8510;Rollegem;BE;056 24 57 87;3256225610;Rollegemkerkstraat 51  8510 Rollegem
1000337;Les Cliniques Saint-Joseph;2;BE0416805238;Rue de Hesbaye;111854;75;;4000;LiËge;BE;04 224 81 11;3242248609;Rue de Hesbaye 75  4000 LiËge
1000339;Mivas;2;BE0407597958;Plaslaar;10579;41;;2500;Lier;BE;03 491 96 00;3234919601;Plaslaar 41  2500 Lier
1000340;RSVZ-INASTI;2;BE0208044709;Willebroekkaai;20795;35;;1000;Brussel;BE;02 546 42 11;3225112153;Willebroekkaai 35  1000 Brussel
1000341;Conti 7;2;BE0404462185;Generaal Lemanstraat;3143;82;;2600;Berchem ( Antwerpen );BE;03 545 38 28;3235453805;Generaal Lemanstraat 82  2600 Berchem ( Antwerpen )
1000342;Home Nottebohm;2;422519231;Biartstraat;1206;2;;2018;Antwerpen;BE;03 25 91 800;3232372864;Biartstraat 2  2018 Antwerpen
1000343;LVD Company;2;BE0405350231;Nijverheidslaan;57466;2;;8560;Gullegem;BE;056 43 05 11;3256402464;Nijverheidslaan 2  8560 Gullegem
1000344;Agio Cigars Belgium;2;BE0404220180;Bell-Telephonelaan;18676;29;;2260;Oevel ( Westerlo );BE;014 59 05 79;3214590157;Bell-Telephonelaan 29  2260 Oevel ( Westerlo )
1000345;Cobelplast;2;BE0400130641;Antwerpse Steenweg;81807;14;;9160;Lokeren;BE;09 340 99 11;3293409912;Antwerpse Steenweg 14  9160 Lokeren
1000012;Boekhandel Raaklijn;2;BE0415672714;Kuipersstraat;47782;1;;8000;Brugge;BE;050 33 67 20;3250336916;Kuipersstraat 1  8000 Brugge
1000018;Margareta Maria Instituut;2;BE0410204684;Handzamestraat;51968;18;;8610;Kortemark;BE;051 56 77 33;3251570351;Handzamestraat 18  8610 Kortemark
1000019;Bemok M.P.I.;2;411882685;Walle;55519;115;;8500;Kortrijk;BE;056 21 58 37;3256214701;Walle 115  8500 Kortrijk
1000022;Gemeentebestuur Wezembeek-Oppem;2;BE0207506061;Louis Marcelisstraat;32944;134;;1970;Wezembeek-Oppem;BE;02 783 12 11;3227310672;Louis Marcelisstraat 134  1970 Wezembeek-Oppem
1000025;Sint-Jozefscollege;2;430526382;Pontstraat;65181;7;;9300;Aalst;BE;053 79 04 41;3253790106;Pontstraat 7  9300 Aalst
1000026;Gemeentebestuur Haaltert;2;BE0207439151;Hoogstraat;66732;41;;9450;Haaltert;BE;053 85 86 00;3253858620;Hoogstraat 41  9450 Haaltert
1000027;Gemeentelijke Openbare Bibliotheek Lievegem;2;;Dorp;76821;28;;9920;Lievegem;BE;09/3725575;3293720998;Dorp 28  9920 Lievegem
1000028;Ons Erfdeel;2;BE0410723635;Murissonstraat;56789;260;;8930;Menen;BE;056 41 12 01;3256414707;Murissonstraat 260  8930 Menen
1000029;Stadsbibliotheek Veurne;2;;Grote Markt;64714;1;;8630;Veurne;BE;058 31 32 32;3258316636;Grote Markt 1  8630 Veurne
1000031;Gemeentelijke Openbare Bibliotheek De Brouwerij;2;;Sint-Maartensplein;51756;15B;;8680;Koekelare;BE;051 58 09 65;3251583264;Sint-Maartensplein 15B  8680 Koekelare
1000033;Gemeentelijke Openbare Bibliotheek;2;;Gemeenteplein;36391;8;;3140;Keerbergen;BE;015 51 71 55;3215529140;Gemeenteplein 8  3140 Keerbergen
1000036;Sinelco International;2;BE0400208340;Klein Frankrijkstraat;172544;37;;9600;Ronse;BE;055 33 41 41;3255316837;Klein Frankrijkstraat 37  9600 Ronse
1000038;Vitra;2;BE0404066960;Gulkenrodestraat;8053;4;;2160;Wommelgem;BE;03 322 55 22;3233218676;Gulkenrodestraat 4  2160 Wommelgem
1000039;Berghmans Fiduciaire;2;BE0427047052;Lozenhoekstraat;36429;26;;3140;Keerbergen;BE;015 24 12 49;3215251969;Lozenhoekstraat 26  3140 Keerbergen
1000040;Saint-Gobain Construction Products Belgium;2;BE0400865465;Sint-Jansweg;158497;9;;9130;Kallo ( Beveren );BE;03 360 22 11;3233602380;Sint-Jansweg 9  9130 Kallo ( Beveren )
1000042;Volkshaard;2;BE0400067887;Ravensteinstraat;74717;12;;9000;Gent;BE;09 223 50 45;3292330623;Ravensteinstraat 12  9000 Gent
1000043;Centr' Habitat;2;BE0401763211;Rue Edouard Anseele;97025;48;;7100;La LouviËre;BE;064 22 17 82;3264216552;Rue Edouard Anseele 48  7100 La LouviËre
1000045;Inter-Regies;2;BE0207622758;Avenue Ariane;23796;5;;1200;Woluwe-Saint-Lambert ( Bruxelles );BE;02 217 81 17;3222192056;Avenue Ariane 5  1200 Woluwe-Saint-Lambert ( Bruxelles )
1000047;Van den Bogaert Boekhouding-fiskaliteit;2;BE0475455693;Alfons Dewitstraat;36853;50;;3078;Meerbeek;BE;02 759 92 05;3227572352;Alfons Dewitstraat 50  3078 Meerbeek
1000048;De Schutter 'Neroc;2;BE0423174079;Blancefloerlaan;1936;179A;;2050;Antwerpen;BE;03 222 38 00;3232223838;Blancefloerlaan 179A  2050 Antwerpen
1000049;Bonas-Couzyn;2;BE0404935507;Pelikaanstraat;1343;62;;2018;Antwerpen;BE;03 233 70 80;3232251534;Pelikaanstraat 62  2018 Antwerpen
1000050;Anacc Fiduciaire;2;BE0423300179;Alfons Servaislei;7683;94;2;2900;Schoten;BE;03 680 27 27;3236802728;Alfons Servaislei 94 2 2900 Schoten
1000052;Monument - Vandekerckhove;2;BE0441337825;Oostrozebekestraat;60342;54;;8770;Ingelmunster;BE;051 31 60 80;3251302237;Oostrozebekestraat 54  8770 Ingelmunster
1000056;Chauffage Declercq;2;BE0405549080;Kachtegemsestraat;;9;;8870;Izegem;BE;051 31 18 36;3251312933;Kachtegemsestraat 9  8870 Izegem
1000057;CITRIQUE Belge;2;BE0400934652;Pastorijstraat;39541;249;;3300;Tienen;BE;016 80 62 11;3216806611;Pastorijstraat 249  3300 Tienen
1000060;Medisch Sociaal Sekretariaat;2;410252788;Gentsesteenweg;55262;67;;8500;Kortrijk;BE;056 21 24 20;3256217374;Gentsesteenweg 67  8500 Kortrijk
1000062;Psychiatrisch Centrum Gent-Sleidinge;2;837845517;Weststraat;72907;135;;9940;Sleidinge ( Evergem );BE;09 358 04 11;3293580504;Weststraat 135  9940 Sleidinge ( Evergem )
1000063;CPAS de Boussu;2;BE0212366751;Rue de La Fontaine;90845;127;;7301;Hornu ( Boussu );BE;065 71 75 00;3265793517;Rue de La Fontaine 127  7301 Hornu ( Boussu )
1000064;BibliothËque du Barreau de Mons;2;;Rue Des Droits de l'Homme;92647;1;;7000;Mons;BE;065 34 91 29;3265318409;Rue Des Droits de l'Homme 1  7000 Mons
